MLS_Num,Address,City,Original_Price,List_Date,Days_On_Market,Living_SQFT,Status,List_Price,Land_SQFT,Type,Closing_Date,Sold_Price,Zip
401838,485 KAWELO Rd,Haiku,2750000,45397,149,2411,ACT,2295000,105415,SFD,,,96708
401973,60 Koolau Rd,Haiku,2395000,45408,98,3260,SLD,2395000,88427,SF,45506,2333000,96708
402813,262 Hekuawa St,Haiku,2575000,45481,46,2110,SLD,2575000,122229,SF,45527,2350000,96708
400198,83 Moana Ave,Kihei,2350000,45239,75,2456,SLD,2350000,7658,SF,45314,2350000,96753
402721,25 Napoko Pl,Kula,2350000,45471,75,2553,PNDNS,2350000,73224,SF,,,96790
403404,22 & 18 Kili Nahe St,Lahaina,2375000,45541,5,1816,ACT,2375000,8738,SFD,,,96761
403362,0 Hana Hwy,Hana,2395000,45538,8,1596,ACT,2395000,351529,SF,,,96713
399603,1815 & 1827 E Vineyard St,Wailuku,2600000,45160,386,1408,ACT,2400000,6294,SF,,,96793
402164,98 Wahelani St,Kula,2480000,45425,121,2607,PNDS,2480000,89729,SF,,,96790
399988,204 River Rd,Wailuku,2999000,45210,336,2104,PNDS,2499000,528034,SF,,,96793
399084,795 E Kuiaha Rd,Haiku,2895000,45086,97,1444,SLD,2895000,262231,SFD,45183,2500000,96708
397991,1065 Piiholo Rd,Makawao,2995000,44953,231,2555,SLD,2695000,91476,SFD,45184,2550000,96768
399243,50 Kaalele Pl,Kula,2795000,45104,171,3300,SLD,2795000,11330,SF,45275,2575000,96790
402038,230 Door of Faith Rd,Haiku,2490000,45415,61,2597,SLD,2490000,128023,SF,45476,2600000,96708
401026,41 Kilihune Pl,Makawao,2595000,45322,75,4232,SLD,2595000,97496,SF,45397,2645000,96768
401723,100 E Huapala Pl,Lahaina,2795000,45386,64,982,SLD,2795000,131856,SF,45450,2672500,96761
402697,145 W Kane St,Kahului,2688000,45468,78,2168,ACT,2688000,10498,SFD,,,96732
398977,79 Pukolu Way,Kihei,2895000,45071,364,2109,SLD,2695000,7701,SF,45436,2695000,96753
399122,15287 Haleakala Hwy,Kula,2995000,45092,454,3079,ACT,2695000,28392,SFD,,,96790
403201,1185 Nanihoku Pl,Haiku,2700000,45520,26,2045,ACT,2700000,97313,SFD,,,96708
399803,3408 Hookipa Pl,Kihei,2999000,45185,135,3045,SLD,2999000,26310,SFD,45320,2760000,96753
401337,3144 Waakea Dr,Kihei,2800000,45350,0,2076,SLD,2800000,9749,SF,45350,2800000,96753
400471,30 Maunalei Pl,Wailuku,2875000,45267,239,1800,SLD,2875000,148060,SFD,45506,2875000,96793-5423
402499,37 E PAPA Ave,Kahului,2200000,45449,97,3452,ACT,2888000,9535,SFD,,,96732
403321,41 Leleaka Pl,Haiku,2900000,45533,13,2529,ACT,2900000,131420,SF,,,96708
400188,106 Kaulele Pl,Lahaina,2900000,45237,282,2839,PNDNS,2900000,14532,SF,,,96761
403370,320 Lower Kimo Dr,Kula,2920000,45539,7,3332,ACT,2920000,60047,SF,,,96790
400843,210 Hauoli St,Wailuku,2933006,45303,0,1900,SLD,2933006,36691,SFD,45303,2933006,96793
399856,14 Lower Ulumalu Rd,Haiku,2990000,45191,175,3450,SLD,2990000,87730,SF,45366,2990000,96708
400628,33 Hoolawa Rd,Haiku,2995000,45280,266,1120,ACT,2995000,577697,SF,,,96708
403190,15 Nalu Pl,Paia,2995000,45518,28,1753,ACT,2995000,4369,SF,,,96779
402404,711 Kumulani Dr,Kihei,2995000,45443,0,3336,SLD,2995000,26310,SF,45443,2995000,96753-9228
403343,143 Pulehu Rd,Kula,2997500,45536,10,1352,ACT,2997500,96528,SFD,,,96790
401624,199 E Ikea Moku Pl,Kihei,2998000,45376,170,3195,ACT,2998000,9291,SF,,,96753
402477,383 Pohaku Aeko St,Lahaina,3299000,45448,98,2378,ACT,2999000,216537,SF,,,96761-9700
402752,40 Ae Pl,Paia,3000000,45474,72,956,ACT,3000000,3271,SF,,,96779
400224,40 Awaiku St,Lahaina,3450000,45242,165,3362,SLD,3150000,90605,SF,45407,3087000,96761
398090,9 Lana St,Paia,4200000,44965,372,2170,SLD,3650000,17886,SFD,45337,3100000,96779
401129,712 Fairway Dr,Lahaina,3300000,45330,77,2361,SLD,3300000,8786,SF,45407,3150000,96761
402714,625 LIHAU Pl,Haiku,3150000,45470,76,1768,ACT,3150000,87120,SF,,,96708
402728,126 Hoomaikai Pl,Kula,3200000,45471,75,984,ACT,3200000,349843,SF,,,96790
399834,680 Makani Rd,Makawao,4500000,45189,357,2807,ACT,3200000,87647,SFD,,,96768
401963,885 Pulehuiki Rd,Kula,3295000,45408,138,4703,ACT,3275000,87120,SF,,,96790
403109,77 Ohaoha Pl,Makawao,3295000,45510,36,2426,PNDS,3295000,89011,SF,,,96768
399981,35 Kapohue Rd,Hana,3500000,45176,33,2103,SLD,3500000,47922,SF,45209,3300000,96713
399774,707 Calasa Rd,Kula,3500000,45183,130,960,SLD,3500000,732200,SF,45313,3300000,96790
400406,451 Lower Kimo Dr,Kula,3600000,45261,285,2043,ACT,3300000,245016,SFD,,,96790
401232,555 N Holokai Rd,Haiku,3695000,45341,151,2114,SLD,3695000,87120,SF,45492,3300000,96708
399841,820 Kupulau Dr,Kihei,3495000,45190,161,2848,SLD,3495000,23740,SFD,45351,3350000,96753
399078,68 Oheala Pl,Makawao,3800000,45086,145,3206,SLD,3495000,87556,SFD,45231,3365000,96768
401634,0 Hana Hwy,Hana,3400000,45377,169,1161,ACT,3400000,292767,SF,,,96713
401865,2505 Kula Hwy,Kula,3700000,45395,151,1616,ACT,3490000,350658,SF,,,96790
402705,0 Ulaino Rd,Hana,3495000,45469,77,1156,ACT,3495000,382892,SF,,,96713
401221,180 Kaunaoa Dr,Lanai City,3500000,45322,224,3045,PNDS,3500000,21558,SF,,,96763
